task,method,policy_id,owner,folder,checkpoint,checkpoint_sha256,optimizer_updates,parameters,training_seconds,training_receipt,source,prior_document,prior_summary_API_authored,source_version,authorship_audit,bundled_API_source,handoff_document
drawer_exchange,naive_DP,naive_DP,Developer baseline,runs/exp2/m0,runs/exp2/m0/training/last.pt,cfc5159592886349eb9e9a078c44757d7f53b3ce6befdd5d4f52398fd6c2f0c4,60000,16998408,1529.3049727570033,runs/exp2/m0/training/result.json,,,,,,,
drawer_exchange,SinglePrior_6_xhigh,SinglePrior_6_xhigh,Runtime API,runs/exp2/single_policy_astra_xhigh/drawer_exchange/policy,runs/exp2/single_policy_astra_xhigh/drawer_exchange/policy/training/last.pt,f44abd6c0e0c83502be4c5d2b63018952af93fea13dbc20934171d500a89dd6c,60000,19038112,2576.8420808399096,runs/exp2/single_policy_astra_xhigh/drawer_exchange/policy/training/result.json,runs/exp2/single_policy_astra_xhigh/drawer_exchange/policy/source,runs/exp2/single_policy_astra_xhigh/drawer_exchange/policy/source/PRIOR.md,Object/drawer-relative anticipation: shared object encoders and a causally predicted short-horizon relational future condition one learned action diffusion U-Net. A masked future-relation regression loss supervises the same anticipation features used by the denoiser.,447db3589b475839ecd33bf8ccba42fcf40ed75c45fd81d48408d6912f6707b7,runs/exp2/single_policy_astra_xhigh/drawer_exchange/policy/authorship_audit.json,policy_cards/SinglePrior_6_xhigh/drawer_exchange/SinglePrior_6_xhigh,
drawer_exchange,APPL_5_5_high,side_grasp_red_pull_drawer_open__h01,Runtime API,runs/exp2/M1_initial_test/policies/side_grasp_red_pull_drawer_open/heuristic_01,runs/exp2/M1_initial_test/policies/side_grasp_red_pull_drawer_open/heuristic_01/training/last.pt,e1c5375be8ef022834501098d84433ca9d0d6d5fe57cbda3894a1727c5f6b037,20000,18596317,875.9033660449786,runs/exp2/M1_initial_test/policies/side_grasp_red_pull_drawer_open/heuristic_01/training/result.json,runs/exp2/M1_initial_test/policies/side_grasp_red_pull_drawer_open/heuristic_01/source,runs/exp2/M1_initial_test/policies/side_grasp_red_pull_drawer_open/heuristic_01/source/PRIOR.md,"A learned DDPM action policy conditioned on red-relative side-grasp geometry, drawer progress, finger aperture, and TCP/object motion; auxiliary trainable heads predict manipulation phase and short-horizon TCP/red/drawer consequences to bias the shared encoder toward the assigned side-grasp pull heuristic.",59c50fac1048f331989167e23ab3cc3cee65560d10bbfe1eeaa968faa4ba1fe4,runs/exp2/M1_initial_test/policies/side_grasp_red_pull_drawer_open/heuristic_01/authorship_audit.json,policy_cards/APPL_5_5_high/drawer_exchange/side_grasp_red_pull_drawer_open__h01,runs/exp2/M1_initial_test/policies/side_grasp_red_pull_drawer_open/heuristic_01/source/HANDOFF.json
drawer_exchange,APPL_5_5_high,side_grasp_red_pull_drawer_open__h02,Runtime API,runs/exp2/M1_initial_test/policies/side_grasp_red_pull_drawer_open/heuristic_02,runs/exp2/M1_initial_test/policies/side_grasp_red_pull_drawer_open/heuristic_02/training/last.pt,3044704bf5b77759068d1170d831a05b71bc4730107be99121b95e6b437eda36,20000,17908628,740.4051436980371,runs/exp2/M1_initial_test/policies/side_grasp_red_pull_drawer_open/heuristic_02/training/result.json,runs/exp2/M1_initial_test/policies/side_grasp_red_pull_drawer_open/heuristic_02/source,runs/exp2/M1_initial_test/policies/side_grasp_red_pull_drawer_open/heuristic_02/source/PRIOR.md,"Learned action diffusion policy conditioned by a soft contact-phase latent prior for approach, close, pull, release, and retreat. The phase belief is inferred from the two causal state observations and trained with heuristic phase labels, drawer-progress regression, and gripper-intention prediction while the U-Net still learns the full normalized joint/gripper action diffusion distribution.",9840648ed8140377f144ef0cb1a58d20b2e46d6cb4f427f67e58ed594e25c247,runs/exp2/M1_initial_test/policies/side_grasp_red_pull_drawer_open/heuristic_02/authorship_audit.json,policy_cards/APPL_5_5_high/drawer_exchange/side_grasp_red_pull_drawer_open__h02,runs/exp2/M1_initial_test/policies/side_grasp_red_pull_drawer_open/heuristic_02/source/HANDOFF.json
drawer_exchange,APPL_5_5_high,side_grasp_red_pull_drawer_open__h03,Runtime API,runs/exp2/M1_initial_test/policies/side_grasp_red_pull_drawer_open/heuristic_03,runs/exp2/M1_initial_test/policies/side_grasp_red_pull_drawer_open/heuristic_03/training/last.pt,a817532ee8bb8a0bce78abd0b0ef8a52b02706327a878eb9d59e55b22c1468a4,20000,18346736,798.7953825939912,runs/exp2/M1_initial_test/policies/side_grasp_red_pull_drawer_open/heuristic_03/training/result.json,runs/exp2/M1_initial_test/policies/side_grasp_red_pull_drawer_open/heuristic_03/source,runs/exp2/M1_initial_test/policies/side_grasp_red_pull_drawer_open/heuristic_03/source/PRIOR.md,"Drawer-progress coordinate prior: a learned action DDPM is conditioned on causal drawer_position, drawer_velocity, pull-line object/TCP relations, and shared-normalized robot state. Trainable auxiliary effect heads predict future drawer opening, open-threshold crossing, drawer velocity, and red-block lateral drift from the denoised action trajectory, biasing the learned sampler toward monotonic world-x pulling until the drawer is safely open and then toward release/retreat in the overlap phase.",e8d558cd0ead1f540ac5f87df1b3319ee239f4f3f6963e4b01a1e59a6bb5cfa2,runs/exp2/M1_initial_test/policies/side_grasp_red_pull_drawer_open/heuristic_03/authorship_audit.json,policy_cards/APPL_5_5_high/drawer_exchange/side_grasp_red_pull_drawer_open__h03,runs/exp2/M1_initial_test/policies/side_grasp_red_pull_drawer_open/heuristic_03/source/HANDOFF.json
drawer_exchange,APPL_5_5_high,red_top_regrasp_lift__h01,Runtime API,runs/exp2/M1_initial_test/policies/red_top_regrasp_lift/heuristic_01,runs/exp2/M1_initial_test/policies/red_top_regrasp_lift/heuristic_01/training/last.pt,1b008894294d680e4a07ab1959ecb49e4904b91481c7e975077598dead6d8ea7,20000,18392976,843.4327894740272,runs/exp2/M1_initial_test/policies/red_top_regrasp_lift/heuristic_01/training/result.json,runs/exp2/M1_initial_test/policies/red_top_regrasp_lift/heuristic_01/source,runs/exp2/M1_initial_test/policies/red_top_regrasp_lift/heuristic_01/source/PRIOR.md,"Learn a DDPM action policy conditioned on a red-centered top-grasp affordance frame: TCP-minus-red position, block-relative motion, gripper aperture, relative quaternions, drawer opening and red-goal geometry are encoded causally, with an auxiliary learned future relative-state loss for lift/attachment consistency.",d452437e1af3f76b905d072fab8f357bb7626ee38780c53d9c998cc14376da30,runs/exp2/M1_initial_test/policies/red_top_regrasp_lift/heuristic_01/authorship_audit.json,policy_cards/APPL_5_5_high/drawer_exchange/red_top_regrasp_lift__h01,runs/exp2/M1_initial_test/policies/red_top_regrasp_lift/heuristic_01/source/HANDOFF.json
drawer_exchange,APPL_5_5_high,red_top_regrasp_lift__h02,Runtime API,runs/exp2/M1_initial_test/policies/red_top_regrasp_lift/heuristic_02,runs/exp2/M1_initial_test/policies/red_top_regrasp_lift/heuristic_02/training/last.pt,593c1331fd50d4a1362b9354666acf651a03cdbe1408787e026af599d4db8c9a,20000,18832422,807.2215900240117,runs/exp2/M1_initial_test/policies/red_top_regrasp_lift/heuristic_02/training/result.json,runs/exp2/M1_initial_test/policies/red_top_regrasp_lift/heuristic_02/source,runs/exp2/M1_initial_test/policies/red_top_regrasp_lift/heuristic_02/source/PRIOR.md,"Learned state-conditioned DDPM action policy for the full expanded regrasp-and-lift slice, with an auxiliary learned future-geometry head that biases denoised actions toward the demonstrated open-drawer clearance envelope, top regrasp, finger closure, and red lift.",3d434b67e73267f172f69a1f80efa5a83753845c045eaa839ad7ab63b981ec1b,runs/exp2/M1_initial_test/policies/red_top_regrasp_lift/heuristic_02/authorship_audit.json,policy_cards/APPL_5_5_high/drawer_exchange/red_top_regrasp_lift__h02,runs/exp2/M1_initial_test/policies/red_top_regrasp_lift/heuristic_02/source/HANDOFF.json
drawer_exchange,APPL_5_5_high,red_top_regrasp_lift__h03,Runtime API,runs/exp2/M1_initial_test/policies/red_top_regrasp_lift/heuristic_03,runs/exp2/M1_initial_test/policies/red_top_regrasp_lift/heuristic_03/training/last.pt,f7e31843c83f31ae77d840aabff070352afb2d8426efe861c1ac845bdd4f6e15,20000,19081520,861.7069278890267,runs/exp2/M1_initial_test/policies/red_top_regrasp_lift/heuristic_03/training/result.json,runs/exp2/M1_initial_test/policies/red_top_regrasp_lift/heuristic_03/source,runs/exp2/M1_initial_test/policies/red_top_regrasp_lift/heuristic_03/source/PRIOR.md,"Attachment-switch prior: a learned causal encoder infers free, contact, and carry probabilities from joint, TCP, red block, and drawer state history, then conditions a DDPM action denoiser for the expanded red top-regrasp and lift slice.",53ac4d88ee090d0f503728b14cdc900415db4fcc418214a4c8674fbc1c8041dd,runs/exp2/M1_initial_test/policies/red_top_regrasp_lift/heuristic_03/authorship_audit.json,policy_cards/APPL_5_5_high/drawer_exchange/red_top_regrasp_lift__h03,runs/exp2/M1_initial_test/policies/red_top_regrasp_lift/heuristic_03/source/HANDOFF.json
drawer_exchange,APPL_5_5_high,red_transport_place_pad__h01,Runtime API,runs/exp2/M1_initial_test/policies/red_transport_place_pad/heuristic_01,runs/exp2/M1_initial_test/policies/red_transport_place_pad/heuristic_01/training/last.pt,21459b7e7ff46465cb0bc7f210040dec744e070b14fb83cae9dc057619fa30a7,20000,18519128,813.2236595959985,runs/exp2/M1_initial_test/policies/red_transport_place_pad/heuristic_01/training/result.json,runs/exp2/M1_initial_test/policies/red_transport_place_pad/heuristic_01/source,runs/exp2/M1_initial_test/policies/red_transport_place_pad/heuristic_01/source/PRIOR.md,"Learned action diffusion policy conditioned by pad-frame red placement features: red-to-pad error, TCP-to-red offset, drawer-open state, gripper state, and blue-transition cues. An auxiliary learned head predicts future red placement and release labels from the denoised action plan to bias the diffusion model toward placing red on the fixed outside pad.",4ca4fcf05027526d35c54f196b22ddce5727b231add72e3e9151edba28744f63,runs/exp2/M1_initial_test/policies/red_transport_place_pad/heuristic_01/authorship_audit.json,policy_cards/APPL_5_5_high/drawer_exchange/red_transport_place_pad__h01,runs/exp2/M1_initial_test/policies/red_transport_place_pad/heuristic_01/source/HANDOFF.json
drawer_exchange,APPL_5_5_high,red_transport_place_pad__h02,Runtime API,runs/exp2/M1_initial_test/policies/red_transport_place_pad/heuristic_02,runs/exp2/M1_initial_test/policies/red_transport_place_pad/heuristic_02/training/last.pt,a3bbdccec96d16b64e2b663a9a8b5769e0b3f40b0a5f5fd4a1e412c0bcba4089,20000,18687468,736.89800500602,runs/exp2/M1_initial_test/policies/red_transport_place_pad/heuristic_02/training/result.json,runs/exp2/M1_initial_test/policies/red_transport_place_pad/heuristic_02/source,runs/exp2/M1_initial_test/policies/red_transport_place_pad/heuristic_02/source/PRIOR.md,"A learned DDPM action policy whose conditioning is bottlenecked by a trainable four-stage high-carry, descend, release, and retreat representation for transporting the red block to the outside pad.",2d93edfb1c3a3a3ea787817d567fd4c9b88e464c30d14589ad6aceac54f6c1ab,runs/exp2/M1_initial_test/policies/red_transport_place_pad/heuristic_02/authorship_audit.json,policy_cards/APPL_5_5_high/drawer_exchange/red_transport_place_pad__h02,runs/exp2/M1_initial_test/policies/red_transport_place_pad/heuristic_02/source/HANDOFF.json
